org_id	Photosynthetic	B12
100179820	No	No
100565279	No	No
100650337	No	Yes
101597546	No	No
102005216	No	Yes
103026404	No	Yes
103440045	No	No
103948051	No	Yes
104214924	Yes	No
104399128	Yes	Yes
104841472	No	Yes
105092023	No	No
107311850	No	No
108195340	No	Yes
110333869	No	No
110344044	No	Yes
111187539	No	No
111576712	No	Yes
112276727	No	Yes
113686761	No	No
114210217	No	No
116006846	Yes	No
116293868	Yes	No
116423524	No	Yes
117732553	No	Yes
117837184	No	Yes
119090472	No	No
119293754	No	Yes
120286847	No	Yes
120795505	Yes	Yes
121167367	No	No
121200554	Yes	Yes
121940746	No	Yes
123478355	Yes	Yes
123736185	No	Yes
127037536	No	Yes
127371327	Yes	No
127810047	No	No
129355589	No	Yes
129538322	No	No
130528894	No	No
131087598	Yes	Yes
131202835	Yes	Yes
131691444	No	Yes
131702417	No	No
132287191	No	No
132776680	No	Yes
132831677	No	Yes
136182515	No	Yes
136262603	No	Yes
136848599	No	No
138471686	No	No
140348627	No	No
142292260	No	Yes
144266793	No	Yes
145987512	No	Yes
146079964	No	Yes
147006684	No	No
147066127	No	Yes
147963710	No	Yes
148050606	No	Yes
149065964	No	Yes
149284063	Yes	No
150114593	No	No
150964543	No	Yes
151333694	No	Yes
153519139	No	Yes
154247225	Yes	Yes
154383565	Yes	Yes
154633659	No	Yes
155398659	No	Yes
155730765	No	Yes
156621401	Yes	No
157165140	No	Yes
160547437	No	Yes
160720125	No	Yes
160833143	No	No
161109510	No	Yes
162566084	No	No
162871308	Yes	No
163670715	No	Yes
165258773	Yes	No
166243049	No	Yes
166448433	No	Yes
168660753	Yes	Yes
168822427	Yes	No
169110027	No	Yes
169557191	No	No
171198478	No	Yes
171204584	No	No
172301783	No	No
172772907	No	No
173093245	No	No
173945943	No	No
174105055	No	Yes
175490666	No	No
175920335	No	Yes
176011747	No	No
176576166	No	No
178240807	No	No
178874253	No	No
179252222	No	Yes
181032025	No	No
182024976	Yes	Yes
182387829	No	Yes
182453981	No	Yes
184176769	No	No
185320565	No	No
185584732	No	Yes
187124396	No	Yes
187312291	No	No
187946142	No	Yes
189145202	Yes	No
190624015	Yes	No
191196837	Yes	Yes
191382480	No	Yes
191664702	No	Yes
192118792	No	Yes
192505955	Yes	Yes
192935575	No	No
194527439	No	No
195457249	No	Yes
196997135	No	Yes
198670661	No	Yes
198799671	No	Yes
199070015	No	No
199079065	No	No
201873771	Yes	No
203448056	No	No
203493073	No	No
205011332	No	Yes
205536260	No	Yes
205978002	Yes	No
206520613	No	Yes
206839298	No	No
207182889	No	Yes
211899222	No	No
213141885	No	Yes
214009690	No	No
214095605	Yes	Yes
214157896	No	Yes
214279604	No	No
214327483	No	Yes
215267393	Yes	Yes
215729503	No	Yes
216506607	No	No
216620661	No	Yes
218073543	No	No
219237396	No	Yes
219711136	No	Yes
219931088	No	Yes
220112803	No	No
221481237	No	Yes
221623026	No	Yes
222303280	No	No
223757829	No	Yes
224691675	Yes	No
225388281	No	Yes
225501765	No	Yes
225609484	No	Yes
226392983	No	Yes
226455332	No	Yes
228047638	No	Yes
228215696	Yes	No
228272702	No	Yes
228540960	No	Yes
230972131	No	Yes
231407903	No	No
231672442	No	Yes
232136686	No	Yes
233430217	Yes	Yes
233480359	No	Yes
234011674	No	No
234188411	No	Yes
234540435	No	Yes
235273001	No	Yes
235445786	No	Yes
235798835	No	No
236884842	Yes	Yes
237396079	No	Yes
237421587	No	Yes
237575165	No	Yes
237897011	No	No
238578715	Yes	Yes
239763176	Yes	No
240385029	No	Yes
241758733	No	No
241859450	No	No
242498673	No	Yes
242812048	No	Yes
243768393	Yes	Yes
244555499	No	Yes
244614164	No	No
245774437	No	No
246034201	Yes	Yes
246773267	No	No
248136449	Yes	No
249414563	No	Yes
250908110	No	Yes
251303208	Yes	Yes
252542316	No	Yes
253768637	No	Yes
255509172	No	No
255692756	No	Yes
257342895	Yes	Yes
257816503	No	No
259039511	No	Yes
260394064	No	Yes
261181763	No	Yes
261343094	No	Yes
261770636	No	No
263961490	No	Yes
265908727	No	Yes
265920815	No	Yes
265931936	No	Yes
266216406	No	Yes
269288460	Yes	No
269922026	No	Yes
270705589	No	Yes
270711385	No	No
271744003	No	Yes
271989406	No	No
272523994	No	Yes
272867896	No	No
274668454	No	Yes
275042035	No	Yes
275257251	No	No
275691950	No	Yes
276065157	No	Yes
276451494	No	No
276470426	No	No
277097771	Yes	No
280928611	No	Yes
280957506	No	No
281995169	No	Yes
282547440	No	Yes
282678045	No	No
282821354	No	Yes
283259523	No	Yes
283455266	No	No
284161877	No	No
285407339	No	Yes
286288777	No	No
286921764	No	Yes
287666219	No	Yes
289514874	No	Yes
290196210	No	Yes
290275898	No	Yes
290297896	Yes	Yes
290696116	No	No
291288576	No	Yes
291500345	No	Yes
291624478	No	Yes
292904967	No	Yes
293017336	No	No
293235206	No	Yes
293894640	No	Yes
294033004	No	No
294622413	No	No
294883299	No	Yes
296642052	Yes	No
296652124	No	Yes
297020243	No	Yes
297530180	No	Yes
298102864	No	Yes
298498928	No	No
298505298	No	Yes
301516037	No	No
303226358	No	No
303703553	Yes	No
304510635	No	Yes
305014820	Yes	Yes
306218573	No	Yes
307296275	No	No
307403151	Yes	Yes
308064793	No	Yes
308803703	No	Yes
308997669	No	Yes
309554359	No	No
310090222	No	Yes
310272356	Yes	Yes
310988821	Yes	No
311760464	No	Yes
312307008	No	Yes
313028412	Yes	Yes
313071810	No	Yes
313480457	No	No
313554973	Yes	No
313733709	No	No
314312307	No	Yes
315419678	No	Yes
315479256	No	No
315733418	No	Yes
317349926	No	Yes
317973144	No	No
319465584	No	No
319624038	No	No
319937002	Yes	No
320378620	No	No
320717958	No	No
323360781	No	Yes
324420600	No	No
324824850	No	Yes
325523037	Yes	Yes
326229095	No	Yes
326285686	No	No
326887370	No	Yes
327675139	No	Yes
328465828	No	Yes
329805801	No	Yes
329843113	No	Yes
331359888	No	Yes
333365657	No	Yes
334689433	No	Yes
335348118	No	Yes
336491164	No	Yes
336895169	Yes	No
336949180	No	No
337129208	No	Yes
337131174	No	Yes
