id	dir_name	name	genus	phylum	kingdom	tax2	num_L	num_M	num_S	num_M_fs	num_M_plus	num_M_minus
84	Methanocaldococcus_sp_FS406_22	Methanocaldococcus sp. FS406-22	Methanocaldococcus	Euryarchaeota	Archaea	Methanococci	3	1	0	1	0	1
85	Methanocaldococcus_fervens_AG86	Methanocaldococcus fervens AG86	Methanocaldococcus	Euryarchaeota	Archaea	Methanococci	2	1	0	1	0	1
86	Delftia_acidovorans_SPH_1	Delftia acidovorans SPH-1	Delftia	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
94	Pseudomonas_aeruginosa_PAO1	Pseudomonas aeruginosa PAO1	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	2	1	0	1	0	1
116	Pseudomonas_putida_KT2440	Pseudomonas putida KT2440	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
119	Chromobacterium_violaceum_ATCC_12472	Chromobacterium violaceum ATCC 12472	Chromobacterium	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	0	0	0
123	Pseudomonas_syringae_pv_tomato_str_DC3000	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
128	Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	Prochlorococcus marinus subsp. marinus str. CCMP1375	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	2	1	1	0	0	0
160	Ralstonia_solanacearum_GMI1000	Ralstonia solanacearum GMI1000	Ralstonia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	0	0	0
199	Thermosynechococcus_elongatus_BP_1	Thermosynechococcus elongatus BP-1	Thermosynechococcus	Cyanobacteria	Bacteria	Synechococcales	2	1	1	0	0	0
201	Gloeobacter_violaceus_PCC_7421	Gloeobacter violaceus PCC 7421	Gloeobacter	Cyanobacteria	Bacteria	Gloeobacteria	3	1	1	0	0	0
205	Burkholderia_pseudomallei_K96243	Burkholderia pseudomallei K96243	Burkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0	1	0	1
237	Rhodobacter_sphaeroides_2_4_1	Rhodobacter sphaeroides 2.4.1	Rhodobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
240	Hahella_chejuensis_KCTC_2396	Hahella chejuensis KCTC 2396	Hahella	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
244	Rhodospirillum_rubrum_ATCC_11170	Rhodospirillum rubrum ATCC 11170	Rhodospirillum	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	0	1
252	Rhodopseudomonas_palustris_HaA2	Rhodopseudomonas palustris HaA2	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	2	0	0	0
257	Paraburkholderia_xenovorans_LB400	Paraburkholderia xenovorans LB400	Paraburkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
260	Rhodopseudomonas_palustris_BisB18	Rhodopseudomonas palustris BisB18	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	0	1
266	Roseobacter_denitrificans_OCh_114	Roseobacter denitrificans OCh 114	Roseobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	0	1
288	Rhodopseudomonas_palustris_BisA53	Rhodopseudomonas palustris BisA53	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	0	1
292	Syntrophobacter_fumaroxidans_MPOB	Syntrophobacter fumaroxidans MPOB	Syntrophobacter	Proteobacteria	Bacteria	Deltaproteobacteria	1	1	1	0	0	0
295	Pelobacter_propionicus_DSM_2379	Pelobacter propionicus DSM 2379	Pelobacter	Proteobacteria	Bacteria	Deltaproteobacteria	3	2	2	0	0	0
305	Halorhodospira_halophila_SL1	Halorhodospira halophila SL1	Halorhodospira	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	1	0	0	0
316	Rhodospirillum_centenum_SW	Rhodospirillum centenum SW	Rhodospirillum	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
319	Rhodobacter_sphaeroides_ATCC_17025	Rhodobacter sphaeroides ATCC 17025	Rhodobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
324	Pseudomonas_mendocina_ymp	Pseudomonas mendocina ymp	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
356	Dinoroseobacter_shibae_DFL_12_DSM_16493	Dinoroseobacter shibae DFL 12 = DSM 16493	Dinoroseobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
379	Methylobacterium_radiotolerans_JCM_2831	Methylobacterium radiotolerans JCM 2831	Methylobacterium	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
384	Methylobacterium_populi_BJ001	Methylobacterium populi BJ001	Methylobacterium	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	2	0	0	0
387	Nostoc_punctiforme_PCC_73102	Nostoc punctiforme PCC 73102	Nostoc	Cyanobacteria	Bacteria	Nostocales	3	1	1	0	0	0
388	Paraburkholderia_phymatum_STM815	Paraburkholderia phymatum STM815	Paraburkholderia	Proteobacteria	Bacteria	Betaproteobacteria	1	2	1	1	0	1
421	Methylocella_silvestris_BL2	Methylocella silvestris BL2	Methylocella	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
422	Rhodobacter_capsulatus_SB_1003	Rhodobacter capsulatus SB 1003	Rhodobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	2	0	0	0
513	Allochromatium_vinosum_DSM_180	Allochromatium vinosum DSM 180	Allochromatium	Proteobacteria	Bacteria	Gammaproteobacteria	1	2	0	1	0	1
611	Desulfarculus_baarsii_DSM_2075	Desulfarculus baarsii DSM 2075	Desulfarculus	Proteobacteria	Bacteria	Deltaproteobacteria	3	2	2	0	0	0
613	Brevundimonas_subvibrioides_ATCC_15264	Brevundimonas subvibrioides ATCC 15264	Brevundimonas	Proteobacteria	Bacteria	Alphaproteobacteria	1	2	1	1	0	1
647	Congregibacter_litoralis_KT71	Congregibacter litoralis KT71	Congregibacter	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	1	0	1
653	Neptuniibacter_caesariensis	Neptuniibacter caesariensis	Neptuniibacter	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0	0	0	0
657	Fulvimarina_pelagi_HTCC2506	Fulvimarina pelagi HTCC2506	Fulvimarina	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	0	1
673	Hoeflea_phototrophica_DFL_43	Hoeflea phototrophica DFL-43	Hoeflea	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	1	0
675	Roseobacter_litoralis_Och_149	Roseobacter litoralis Och 149	Roseobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	3	1	1	0	1
700	Labrenzia_alexandrii_DFL_11	Labrenzia alexandrii DFL-11	Labrenzia	Proteobacteria	Bacteria	Alphaproteobacteria	2	2	1	1	1	0
