id	name	genus	phylum	kingdom	tax2	num_M	num_bchlD	num_bchlD_fs
84	Methanocaldococcus sp. FS406-22	Methanocaldococcus	Euryarchaeota	Archaea	Methanococci	1	1	1
85	Methanocaldococcus fervens AG86	Methanocaldococcus	Euryarchaeota	Archaea	Methanococci	1	1	1
86	Delftia acidovorans SPH-1	Delftia	Proteobacteria	Bacteria	Betaproteobacteria	2	1	1
87	Bacillus pseudofirmus OF4	Bacillus	Firmicutes	Bacteria	Bacilli	0	0	0
88	Escherichia coli str. K-12 substr. MG1655	Escherichia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
89	Methanococcus voltae A3	Methanococcus	Euryarchaeota	Archaea	Methanococci	1	1	1
90	Corynebacterium jeikeium K411	Corynebacterium	Actinobacteria	Bacteria	Corynebacteriales	0	0	0
91	Chlamydia muridarum str. Nigg	Chlamydia	Chlamydiae	Bacteria	Chlamydiales	0	0	0
92	Xylella fastidiosa 9a5c	Xylella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
93	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
94	Pseudomonas aeruginosa PAO1	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	1
95	Streptococcus pyogenes M1 GAS	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
96	Halobacterium salinarum NRC-1	Halobacterium	Euryarchaeota	Archaea	Halobacteria	1	1	0
97	Neisseria gonorrhoeae FA 1090	Neisseria	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
98	Lactococcus lactis subsp. lactis Il1403	Lactococcus	Firmicutes	Bacteria	Bacilli	0	0	0
99	Caulobacter crescentus CB15	Caulobacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
100	Shigella flexneri 2a str. 301	Shigella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
101	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
102	Sinorhizobium meliloti 1021	Sinorhizobium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
103	Rickettsia conorii str. Malish 7	Rickettsia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
104	Streptococcus pneumoniae R6	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
105	Caldanaerobacter subterraneus subsp. tengcongensis MB4	Caldanaerobacter	Firmicutes	Bacteria	Clostridia	0	0	0
106	Brucella melitensis bv. 1 str. 16M	Brucella	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
107	Xanthomonas campestris pv. campestris str. ATCC 33913	Xanthomonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
108	Streptococcus agalactiae 2603V/R	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
109	Pyrococcus furiosus DSM 3638	Pyrococcus	Euryarchaeota	Archaea	Thermococci	0	0	0
110	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium	Fusobacteria	Bacteria	Fusobacteriales	0	0	0
111	Methanosarcina acetivorans C2A	Methanosarcina	Euryarchaeota	Archaea	Methanomicrobia	1	1	0
112	Buchnera aphidicola str. Sg (Schizaphis graminum)	Buchnera	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
113	Streptococcus mutans UA159	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
114	Tropheryma whipplei str. Twist	Tropheryma	Actinobacteria	Bacteria	Micrococcales	0	0	0
115	Bifidobacterium longum NCC2705	Bifidobacterium	Actinobacteria	Bacteria	Bifidobacteriales	0	0	0
116	Pseudomonas putida KT2440	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	1
117	Clostridium tetani E88	Clostridium	Firmicutes	Bacteria	Clostridia	0	0	0
118	Staphylococcus epidermidis ATCC 12228	Staphylococcus	Firmicutes	Bacteria	Bacilli	0	0	0
119	Chromobacterium violaceum ATCC 12472	Chromobacterium	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0
