id	dir_name	name	kingdom	phylum	genus	tax2	num_L	num_M	num_S	num_M_zero	num_M_fs	num_M_plus	num_M_minus	num_chlH	num_chlD	num_chlI	num_bchH	num_bchD	num_bchI	num_cobN	num_cobT	num_cobS	num_chlD_fs	num_bchD_fs	num_cobT_fs
355	Acaryochloris_marina_MBIC11017	Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Acaryochloris	Synechococcales	3	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
3449	Acetobacterium_bakii	Acetobacterium bakii	Bacteria	Firmicutes	Acetobacterium	Clostridia	4	2	2	2	0	0	0	1	2	2	0	0	0	3	0	0	0	0	0
1204	Acetobacterium_woodii_DSM_1030	Acetobacterium woodii DSM 1030	Bacteria	Firmicutes	Acetobacterium	Clostridia	3	1	1	1	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0
451	Acidimicrobium_ferrooxidans_DSM_10331	Acidimicrobium ferrooxidans DSM 10331	Bacteria	Actinobacteria	Acidimicrobium	Acidimicrobiia	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
2680	Acidiphilium_angustum_ATCC_35903	Acidiphilium angustum ATCC 35903	Bacteria	Proteobacteria	Acidiphilium	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
971	Acidiphilium_multivorum_AIU301	Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Acidiphilium	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
2065	Acidipropionibacterium_jensenii_DSM_20535	Acidipropionibacterium jensenii DSM 20535	Bacteria	Actinobacteria	Acidipropionibacterium	Propionibacteriales	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
3188	Acidithrix_ferrooxidans	Acidithrix ferrooxidans	Bacteria	Actinobacteria	Acidithrix	Acidimicrobiia	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
3898	Acidovorax_delafieldii	Acidovorax delafieldii	Bacteria	Proteobacteria	Acidovorax	Betaproteobacteria	2	2	2	2	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0
4905	Acidovorax_valerianellae	Acidovorax valerianellae	Bacteria	Proteobacteria	Acidovorax	Betaproteobacteria	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
