id	name	descr	gene	fs_len	child_fs_len	org_name	kingdom	phylum	genus
38838	H567_RS25745_fs38761	NA	NA	-1	NA	Desulfatiglans anilini DSM 4660	Bacteria	Proteobacteria	Desulfatiglans
56774	B9A12_RS01635	VWA domain-containing protein	NA	NA	NA	Desulfacinum hydrothermale DSM 13146	Bacteria	Proteobacteria	Desulfacinum
55726	BUB04_RS00990	VWA domain-containing protein	NA	NA	NA	Desulfacinum infernum DSM 9756	Bacteria	Proteobacteria	Desulfacinum
55322	BM091_RS06940	VWA domain-containing protein	NA	NA	NA	Thermodesulforhabdus norvegica	Bacteria	Proteobacteria	Thermodesulforhabdus
40490	DEFCA_RS0107745_fs1751197	NA	NA	-1	NA	Deferrisoma camini S3R1	Bacteria	Proteobacteria	Deferrisoma
38700	F608_RS32460_fs1160801	NA	NA	-1	NA	Desulfospira joergensenii DSM 10085	Bacteria	Proteobacteria	Desulfospira
55908	BUC26_RS03160_fs212465	NA	NA	-1	NA	Desulfofustis glycolicus DSM 9705	Bacteria	Proteobacteria	Desulfofustis
43754	GFER_RS08620_fs543561	NA	NA	-1	NA	Geoalkalibacter ferrihydriticus DSM 17813	Bacteria	Proteobacteria	Geoalkalibacter
43838	GSUB_RS07835_fs1701536	NA	NA	-1	NA	Geoalkalibacter subterraneus	Bacteria	Proteobacteria	Geoalkalibacter
54627	BQ4888_RS13830_fs38105	NA	NA	-1	NA	Desulfuromonas acetexigens	Bacteria	Proteobacteria	Desulfuromonas
56070	BUB13_RS10160_fs175730	NA	NA	-1	NA	Malonomonas rubra DSM 5091	Bacteria	Proteobacteria	Malonomonas
32991	DESAC_RS14805_fs3275263	NA	NA	-1	NA	Desulfobacca acetoxidans DSM 11109	Bacteria	Proteobacteria	Desulfobacca
45829	JCM12178_RS10465	hypothetical protein	NA	NA	NA	Desulfovibrio brasiliensis JCM 12178	Bacteria	Proteobacteria	Desulfovibrio
57179	CHB73_RS08020	VWA domain-containing protein	NA	NA	NA	Desulfovibrio mexicanus	Bacteria	Proteobacteria	Desulfovibrio
41477	T370_RS0104340	VWA domain-containing protein	NA	NA	NA	Bilophila wadsworthia ATCC 49260	Bacteria	Proteobacteria	Bilophila
47277	AXF13_RS15290	hypothetical protein	NA	NA	NA	Desulfovibrio fairfieldensis	Bacteria	Proteobacteria	Desulfovibrio
47278	AXF13_RS07900	hypothetical protein	NA	NA	NA	Desulfovibrio fairfieldensis	Bacteria	Proteobacteria	Desulfovibrio
43972	X474_RS22460	hypothetical protein	NA	NA	NA	Dethiosulfatarculus sandiegensis	Bacteria	Proteobacteria	Dethiosulfatarculus
45138	AAU61_RS14535	hypothetical protein	NA	NA	NA	Desulfocarbo indianensis	Bacteria	Proteobacteria	Desulfocarbo
32063	DEBA_RS06985	VWA domain-containing protein	NA	NA	NA	Desulfarculus baarsii DSM 2075	Bacteria	Proteobacteria	Desulfarculus
30414	SFUM_RS02565	VWA domain-containing protein	NA	NA	NA	Syntrophobacter fumaroxidans MPOB	Bacteria	Proteobacteria	Syntrophobacter
30463	PPRO_RS10340	VWA domain-containing protein	NA	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
40129	SYNAR_RS22485	VWA domain-containing protein	NA	NA	NA	Syntrophorhabdus aromaticivorans UI	Bacteria	Proteobacteria	Syntrophorhabdus
34653	DESTI_RS27085	VWA domain-containing protein	NA	NA	NA	Desulfomonile tiedjei DSM 6799	Bacteria	Proteobacteria	Desulfomonile
34934	PHAMO_RS11465	VWA domain-containing protein	NA	NA	NA	Phaeospirillum molischianum DSM 120	Bacteria	Proteobacteria	Phaeospirillum
30464	PPRO_RS06220	VWA domain-containing protein	NA	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
39552	G493_RS0111580	VWA domain-containing protein	NA	NA	NA	Desulfobulbus japonicus DSM 18378	Bacteria	Proteobacteria	Desulfobulbus
32848	DESPR_RS15595	magnesium chelatase	NA	NA	NA	Desulfobulbus propionicus DSM 2032	Bacteria	Proteobacteria	Desulfobulbus
41014	Q362_RS0105485	magnesium chelatase	NA	NA	NA	Desulfobulbus elongatus DSM 2908	Bacteria	Proteobacteria	Desulfobulbus
32992	DESAC_RS12470	VWA domain-containing protein	NA	NA	NA	Desulfobacca acetoxidans DSM 11109	Bacteria	Proteobacteria	Desulfobacca
56798	B9A32_RS14590	VWA domain-containing protein	NA	NA	NA	Desulfobacterium vacuolatum DSM 3385	Bacteria	Proteobacteria	Desulfobacterium
34654	DESTI_RS00100	VWA domain-containing protein	NA	NA	NA	Desulfomonile tiedjei DSM 6799	Bacteria	Proteobacteria	Desulfomonile
39494	G491_RS0123320	VWA domain-containing protein	NA	NA	NA	Desulfatibacillum aliphaticivorans DSM 15576	Bacteria	Proteobacteria	Desulfatibacillum
35211	TOL2_RS22275	VWA domain-containing protein	NA	NA	NA	Desulfobacula toluolica Tol2	Bacteria	Proteobacteria	Desulfobacula
56797	B9A32_RS01450	VWA domain-containing protein	NA	NA	NA	Desulfobacterium vacuolatum DSM 3385	Bacteria	Proteobacteria	Desulfobacterium
55321	BM091_RS03510	VWA domain-containing protein	NA	NA	NA	Thermodesulforhabdus norvegica	Bacteria	Proteobacteria	Thermodesulforhabdus
43971	X474_RS18340	magnesium chelatase	NA	NA	NA	Dethiosulfatarculus sandiegensis	Bacteria	Proteobacteria	Dethiosulfatarculus
45137	AAU61_RS17105	magnesium chelatase	NA	NA	NA	Desulfocarbo indianensis	Bacteria	Proteobacteria	Desulfocarbo
32064	DEBA_RS12585	VWA domain-containing protein	NA	NA	NA	Desulfarculus baarsii DSM 2075	Bacteria	Proteobacteria	Desulfarculus
34192	GOAMR_RS10770	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia amarae NBRC 15530	Bacteria	Actinobacteria	Gordonia
36682	GS4_RS16640	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia soli NBRC 108243	Bacteria	Actinobacteria	Gordonia
36631	GOACH_RS14790	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia aichiensis NBRC 108223	Bacteria	Actinobacteria	Gordonia
34168	GOEFS_RS01030	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia effusa NBRC 100432	Bacteria	Actinobacteria	Gordonia
31719	GBRO_RS15240	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia bronchialis DSM 43247	Bacteria	Actinobacteria	Gordonia
35020	GORHZ_RS00730	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia rhizosphera NBRC 16068	Bacteria	Actinobacteria	Gordonia
34471	GPOL_RS14185	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia polyisoprenivorans VH2	Bacteria	Actinobacteria	Gordonia
37458	GP2_RS11425	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia paraffinivorans NBRC 108238	Bacteria	Actinobacteria	Gordonia
48971	BCM27_RS15705	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia terrae	Bacteria	Actinobacteria	Gordonia
53595	BLU62_RS10385	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia westfalica	Bacteria	Actinobacteria	Gordonia
32948	SCNU_RS06120	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia neofelifaecis NRRL B-59395	Bacteria	Actinobacteria	Gordonia
36663	GSI01S_RS04605	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia sihwensis NBRC 108236	Bacteria	Actinobacteria	Gordonia
31983	TPAU_RS07660	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Tsukamurella paurometabola DSM 20162	Bacteria	Actinobacteria	Tsukamurella
35392	ON40_RS10335	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Nocardia jiangxiensis NBRC 101359	Bacteria	Actinobacteria	Nocardia
49308	NS506_RS15770	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Nocardia seriolae	Bacteria	Actinobacteria	Nocardia
35443	ON33_RS40320	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Nocardia niigatensis NBRC 100131	Bacteria	Actinobacteria	Nocardia
35416	ON31_RS10075	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Nocardia otitidiscaviarum NBRC 14405	Bacteria	Actinobacteria	Nocardia
35575	ON37_RS08595	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Nocardia veterana NBRC 100344	Bacteria	Actinobacteria	Nocardia
35597	ON41_RS11445	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Nocardia transvalensis NBRC 15921	Bacteria	Actinobacteria	Nocardia
37439	GM1_RS04000	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	NA	NA	Gordonia malaquae NBRC 108250	Bacteria	Actinobacteria	Gordonia
53522	BLW24_RS23070	DUF3520 domain-containing protein	NA	NA	NA	Pseudomonas anguilliseptica	Bacteria	Proteobacteria	Pseudomonas
