org_id	bchD	bchE	bchH	bchI	bchI_f	chlB_bchB	chlD	chlG_bchG	chlH	chlI	chlI_f	chlL_bchL	chlM_bchM	chlN_bchN	cobD_cobC	cobN	cobO	cobP_cobU	cobQ	cobS	cobS_f	cobT	cobV_cobS	cysG_cobA
100179820	1	1	6.18e-49	3.25e-57	1	1	1.15e-44	1	5.79e-109	4.55e-56	1	1	1	1	1	0	1	1	1	1	1	1	1	2.01e-26
100565279	5.19e-09	1	1	2.88e-82	1	1	1.27e-53	1	1	2.81e-66	1	1	1	1	1	1	4.26e-91	1	9.59e-96	1	1	1	1	1
100650337	6.35e-07	1	5.64e-106	1.01e-79	7.67e-08	1	1.1e-44	1	1.13e-71	2.1e-63	1	1	0.000206	1	4.07e-100	0	2.16e-94	1.17e-28	3.57e-111	1	1	1	2.48e-54	3.44e-155
101597546	1	1	5.69e-54	1.92e-61	1	1	4.74e-40	1	1.35e-122	1.53e-49	1	1	1	1	1	0	1	1	1	1	1	1	1	3.92e-26
102005216	1	3.82e-19	2.01e-47	1.73e-52	1	1	1.83e-28	1	1.95e-59	3.04e-49	1	1	6.68e-06	1	2.02e-60	0	1.48e-59	1.05e-30	1.58e-158	1	1	1	0.000296	2.24e-38
103026404	1.05e-09	1	1.24e-62	1.58e-75	4.58e-08	1	1.49e-42	1	2.61e-70	5.7e-61	1	1	4.43e-06	1	4.55e-96	0	5.33e-93	4.67e-25	5.43e-107	1	1	1	4.27e-42	1.37e-152
103440045	7.67e-26	1	1.11e-168	3e-50	1	1	0	1	1.37e-101	2.79e-46	1	1	1	1	7.71e-26	5.07e-49	1	1	1	1	1	1	1	1
103948051	2.01e-06	1	1.01e-60	1.84e-77	1.01e-05	1	6.32e-48	1	4.37e-128	7.77e-73	1	0.000628	6.38e-06	1	3.91e-58	0	1.8e-78	7.05e-38	7.79e-174	1	1	1	5.86e-12	2.53e-64
104214924	1.17e-38	2.09e-86	0	2.39e-112	1	0	1.58e-54	2.12e-85	8.11e-143	1.48e-80	1	1.3e-119	3.04e-48	3.06e-141	1	6.52e-98	1	1	1	1	1	1	1	1
104399128	5.8e-25	2.82e-96	3.61e-168	1.8e-93	1.8e-93	0	0	4.14e-159	0	1.35e-161	1.35e-161	2.96e-150	2.69e-97	0	9.63e-26	0	1.65e-62	5.03e-14	1.69e-101	1	1	1	2.09e-08	2.66e-58
104841472	7.28e-09	1	1	2.43e-74	1	1	3.58e-44	1	1	3.04e-61	1	1	1	1	1	1	9.44e-95	1	4e-110	1	1	1	1	5e-150
105092023	4.41e-57	1	1	1.18e-127	1.18e-127	9.74e-16	4.36e-63	1	1	6.41e-92	6.41e-92	1.43e-106	1	1	1.22e-57	1	1	1.18e-40	1	1	1	1	8.52e-18	1
107311850	3.87e-06	1	1	4.07e-75	2.25e-05	1.63e-10	3.65e-59	1	1	6.23e-67	1	7.06e-32	2.23e-05	1	4.84e-35	1	1	7.15e-23	1.55e-105	1	1	1	1.68e-07	1.3e-19
108195340	1	1	7.56e-45	5.68e-64	1	1	3.94e-40	1	1.17e-55	1.03e-59	1	1	3.3e-05	1	2.09e-111	0	1.48e-89	8.54e-54	0	1	1	1	2.14e-31	7.58e-111
110333869	1.03e-06	5.45e-06	1	2.86e-75	1	1	3.51e-52	1	1	5.15e-71	1	1	1	1	3.52e-07	1	1	1	1	1	1	1	1	2.31e-32
110344044	1.94e-10	1	5.15e-109	9.36e-81	1	1	1.69e-45	1	8.29e-128	1.3e-64	1	1	8.09e-08	1	3.82e-76	0	4.49e-94	2.02e-30	4.85e-108	1	1	1	4.34e-36	1.4e-142
111187539	4.58e-07	1	4.5e-52	4.53e-66	1	1	6.93e-56	1	6.45e-140	1.1e-64	1	1	1	1	1	5.29e-180	1	1	1	1	1	1	1	3.49e-23
111576712	1	1	1	1.26e-74	1	1	5.56e-43	1	1	2.41e-60	1	1	1	1	1	1	5.14e-82	1	7.19e-118	1	1	1	1	2.19e-100
112276727	4.78e-10	1	1.2e-59	5.34e-85	3.4e-70	1	4.25e-53	1	2.8e-71	7.62e-71	7.62e-71	1	1.64e-05	1	9.02e-69	0	4.11e-84	5.09e-37	1.88e-109	1	1	1	3.98e-30	5.45e-120
113686761	2.18e-07	1	1	4.16e-75	1	1	4.7e-44	1	1	2.66e-60	1	1	1	1	1	1	7.51e-91	1	1	1	1	1	1	9.47e-157
114210217	2.05e-09	1	1	1.2e-67	1	1	1.49e-42	1	1	3.12e-62	1	1	1.25e-07	1	1	1	1	1	1	1	1	1	1	9.47e-48
116006846	2.28e-65	8.01e-87	0	8.02e-143	1	0	3.6e-51	5.28e-135	5.74e-140	5.58e-77	1	4.09e-131	1.71e-84	0	1	7.51e-47	1	1	1.57e-147	1	1	1	1	1
116293868	4.13e-41	3.91e-87	0	8.8e-126	1	0	7.01e-52	2.77e-100	4.49e-126	1.55e-70	1	4.78e-134	4.81e-54	8.42e-173	1	1.36e-53	1	1	1	1	1	1	1	1
116423524	5.13e-13	1	6.33e-61	1.89e-72	1	1	4.26e-48	1	1.18e-125	1.35e-75	1	1	1	1	2.87e-55	0	1.11e-77	1	0	1	1	1	1	6.39e-15
117732553	1.67e-05	1	1	8e-88	1	1	1.47e-57	1	1	1.1e-72	1	1	0.000263	1	1.35e-60	1	1	1	1.31e-132	1	1	1	1	5.29e-99
117837184	1	1	5.87e-100	6.15e-67	1	1	1.48e-42	1	1.44e-129	2.04e-43	1	1	1	1	1.18e-35	0	1.54e-39	1.04e-12	1.41e-92	1	1	1	1	5.54e-19
119090472	1.49e-12	1	2.46e-53	4.43e-84	4.43e-84	1	1.74e-61	1	3.73e-134	3.29e-84	3.29e-84	1	1	1	1	0	9.29e-47	1	1	1	1	1	1	1
119293754	1.74e-09	1	7.83e-58	2.74e-91	0.000126	1	8.51e-60	1	1.6e-133	2.63e-83	1	1	5.6e-06	1	4.05e-53	0	3.51e-75	2.58e-30	5.56e-123	1	1	1	5.87e-06	2.56e-97
120286847	1.68e-13	1	4.62e-61	1.11e-74	1	1	2.21e-44	1	1.34e-133	1e-66	1	1	1	1	2.83e-58	0	4.57e-84	3.19e-35	1.45e-102	1	1	1	0.000104	6.27e-50
120795505	1.58e-26	2.72e-97	6.96e-156	8.63e-95	8.63e-95	0	0	1.12e-156	0	1.6e-155	1.6e-155	2.39e-148	4.29e-98	0	6.51e-27	0	7.25e-62	8.28e-19	9.87e-94	0.000313	0.000313	1	4.87e-07	1.19e-59
121167367	1	1	1	5.39e-70	1	1	1.2e-42	1	1	5.03e-61	1	1	1	1	1	1	1.28e-84	1	1	1	1	1	1	1.59e-102
121200554	1.97e-24	2.03e-98	1.33e-163	5.39e-90	5.39e-90	0	0	1.05e-170	0	9.58e-175	9.58e-175	3.84e-150	4.01e-107	0	4.71e-25	0	7.4e-60	2.41e-20	1.25e-86	1	1	1	1.43e-08	2.98e-63
121940746	1.07e-09	6.63e-19	6.17e-56	1.82e-84	1	1	3.57e-57	1	1.36e-136	8.07e-86	1	1	3.79e-07	1	8.26e-61	0	3.12e-73	4.35e-30	1.39e-127	1	1	1	5.15e-07	1.83e-94
123478355	2.13e-34	1.71e-92	0	1.25e-124	1	0	8.64e-62	3.93e-96	4.27e-149	1.68e-83	1	1.78e-114	2.6e-60	2.96e-150	1.86e-51	2.26e-110	1.33e-59	2.12e-47	1	0	0	5.66e-172	1	8.52e-51
123736185	1.13e-11	1	1	1.01e-68	1	1	7.84e-47	1	1	6.9e-73	1	1	1	1	1.19e-62	1	3.89e-74	1	2.27e-131	1	1	1	1	6.42e-93
127037536	9.15e-05	3.95e-06	1.64e-103	6.75e-73	1.91e-08	1	1.81e-39	1	1.4e-71	7.35e-58	1	1	0.000555	1	2.96e-95	0	1.37e-93	7.96e-29	1.33e-118	1	1	1	2.96e-43	9.51e-147
127371327	8.63e-53	4.31e-92	0	1.73e-120	1	0	3.4e-60	6.9e-98	9.79e-148	7.09e-82	1	1.03e-122	3.68e-52	2.97e-160	1	1.13e-54	1	1	1	1	1	1	1	1
127810047	1	1	1	2.21e-66	1	1	2.91e-49	1	1	3.66e-62	1	1	1	1	1	1	1	1	1	1	1	1	1	1.53e-13
129355589	2.67e-13	2.72e-37	1.65e-68	1.93e-93	1.93e-93	1.43e-07	1.77e-106	1.59e-10	1.01e-163	6.84e-80	6.84e-80	7.55e-35	1	1	7.57e-38	8.64e-133	1	1	1.27e-100	1	1	1	1.19e-16	2.27e-56
129538322	1.71e-16	2.36e-26	3.64e-58	1.12e-82	1	1.91e-12	5.21e-66	6.44e-11	2.07e-134	4.56e-84	1	3.19e-34	1	9.56e-08	3.85e-25	1.67e-142	1	1	1.37e-94	1	1	1	6.61e-11	1.26e-59
130528894	0.000339	1	8.5e-55	7.73e-66	1	1	4.46e-46	4.49e-07	2.08e-149	2.56e-53	1	1	5.43e-06	1	1.3e-14	0	7.97e-14	1	1.37e-81	1	1	1	1	6.59e-49
131087598	3.95e-28	8.02e-94	0	3.03e-93	3.03e-93	0	0	1.55e-156	0	4.64e-165	4.64e-165	4.71e-159	1.2e-99	0	9.45e-26	0	3.78e-60	3.2e-29	1.33e-103	1	1	1	5.55e-06	2.73e-59
131202835	8.23e-62	0	0	5.1e-151	6.96e-06	0	3.67e-52	1e-135	1.3e-142	1.35e-79	1	4.14e-130	3.1e-81	0	1.3e-53	0	5.82e-74	4.61e-38	5.14e-152	7.02e-155	7.02e-155	8.93e-150	3.41e-14	1.5e-100
131691444	4.58e-09	1	1	4.21e-80	6.47e-05	1	1.57e-51	1	1	6.07e-65	1	1	1	1	1	1	5.87e-89	1	7.4e-117	1	1	1	1	3.47e-119
131702417	9.04e-11	1	1	5.32e-77	1	1	6.46e-61	1	1	6.39e-77	1	1	1	1	1	1	1	1	1	1	1	1	1	1
132287191	9.75e-47	1	1	2.83e-124	1	1	8.27e-53	1	1	2.89e-80	1	1	1	1	1	1	1	1	1	1	1	1	1	1
132776680	5.28e-11	1.45e-10	1	2.62e-89	1	1	3.88e-60	1	1	6.9e-80	1	1	0.000193	1	8.94e-63	1	7.02e-74	1	3.23e-135	1	1	1	1	1.89e-95
132831677	1.29e-10	1	9.77e-57	2.5e-90	6.71e-05	1.21e-08	2.58e-61	1	8.82e-156	7.07e-76	1	1.22e-39	1	1	4.18e-42	3.32e-179	3.32e-37	4.6e-31	4.66e-102	1	1	1	2.74e-09	1.17e-74
136182515	1.65e-07	1	5.92e-55	1.31e-66	1	1	3.36e-36	1	2.24e-125	2.16e-59	1	1	1.3e-07	1	2.24e-61	0	1.73e-80	3.85e-27	5.15e-100	1	1	1	4.01e-19	1.14e-64
136262603	6.74e-16	5.29e-11	8.39e-88	1.04e-91	1	2.58e-11	1.31e-71	1.14e-10	1.15e-79	1e-81	1	1.16e-37	2.62e-06	1	2.01e-36	1.54e-130	2.96e-24	1	1.39e-94	1	1	1	1.83e-14	2.41e-63
