dir_name	evalue_chlI_bchI	evalue_chlD_bchD	evalue_chlH_bchH	evalue_cobN	evalue_cobS	evalue_cobT	evalue_bchE	evalue_chlB_bchB	evalue_chlG_bchG	evalue_chlL_bchL	evalue_chlM_bchM	evalue_chlN_bchN	evalue_cobD_cobC	evalue_cobO	evalue_cobP_cobU	evalue_cobQ	evalue_cobV_cobS	evalue_cysG_cobA
Methanocaldococcus_sp_FS406_22	1	3.75431e-129	0	0	1	1	4.13124e-21	3.59434e-25	4.07082e-26	2.80383e-65	1	1	0	1	1	0	0	6.923e-177
Methanocaldococcus_fervens_AG86	1	1.05211e-127	1.28806e-141	0	1	1	3.51501e-18	1	9.62709e-27	2.67876e-63	1	1	0	1	1	0	7.90976e-145	1.80901e-158
Delftia_acidovorans_SPH_1	1	1.3612e-49	1	0	2.27448e-158	3.18707e-84	1	1	1	1	2.08679e-14	1	1.47421e-48	5.0006e-52	6.27114e-45	1.3834e-112	3.62056e-24	7.10814e-80
Methanococcus_voltae_A3	1	3.33934e-109	1	0	1	1	7.7994e-19	2.5809e-15	2.23117e-25	4.84455e-63	1	1	5.19319e-119	1	1	0	4.88978e-58	1.19725e-118
Pseudomonas_aeruginosa_PAO1	1	2.11065e-63	1	0	1	1	1	1	1	1	2.39024e-16	1	0	3.31096e-154	2.45982e-126	0	7.08034e-170	0
Halobacterium_salinarum_NRC_1	1	2.11372e-62	1	0	1	1	1	1	4.29293e-22	1.22924e-12	1.41512e-13	1	3.79714e-34	1.92299e-26	1	4.64438e-104	1	4.86997e-69
Methanosarcina_acetivorans_C2A	1	2.98904e-51	7.44038e-178	7.07651e-162	1	1	1.94516e-21	3.58235e-21	9.42491e-23	8.72269e-59	1.0462e-18	1	6.07902e-52	2.59611e-38	1	6.49255e-116	9.41059e-35	3.94663e-75
Pseudomonas_putida_KT2440	1	4.42068e-58	1	0	1	1	1	1	1	1	4.88818e-14	1	2.84886e-142	1.72056e-119	1.32291e-82	0	2.00126e-177	5.00479e-135
Chromobacterium_violaceum_ATCC_12472	1	1.58095e-108	1	2.01632e-140	1	1	2.46661e-23	1	3.49627e-14	1	1.52141e-14	1	7.09403e-113	2.61899e-81	1.06172e-44	0	1	4.81558e-80
Pseudomonas_syringae_pv_tomato_str_DC3000	1	3.16758e-59	1	0	1	1	1	1	1	1	8.76444e-15	1	3.14525e-143	1.66494e-118	2.71177e-82	0	1.04151e-86	1.11799e-133
