name	descr	gene	prot_len	fs_len	org_name	kingdom	phylum	genus
MFS40622_RS06240	magnesium chelatase	NA	362	NA	Methanocaldococcus sp. FS406-22	Archaea	Euryarchaeota	Methanocaldococcus
MFS40622_RS06240_fs_MFS40622_RS06245	magnesium chelatase | VWA domain-containing protein	NA	679	-1	Methanocaldococcus sp. FS406-22	Archaea	Euryarchaeota	Methanocaldococcus
MFS40622_RS06250	cobaltochelatase subunit CobN	NA	1228	NA	Methanocaldococcus sp. FS406-22	Archaea	Euryarchaeota	Methanocaldococcus
MFS40622_RS06440	magnesium chelatase subunit H	NA	1184	NA	Methanocaldococcus sp. FS406-22	Archaea	Euryarchaeota	Methanocaldococcus
MFS40622_RS03055	cobaltochelatase subunit CobN	NA	1190	NA	Methanocaldococcus sp. FS406-22	Archaea	Euryarchaeota	Methanocaldococcus
MEFER_RS06095	magnesium chelatase	NA	366	NA	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	Methanocaldococcus
MEFER_RS06095_fs_MEFER_RS06100	magnesium chelatase | VWA domain-containing protein	NA	681	-1	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	Methanocaldococcus
MEFER_RS06105	cobaltochelatase subunit CobN	NA	1225	NA	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	Methanocaldococcus
MEFER_RS00920	cobaltochelatase subunit CobN	NA	1185	NA	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	Methanocaldococcus
DACI_RS29040	magnesium chelatase	NA	386	NA	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Delftia
DACI_RS29040_fs_DACI_RS29035	magnesium chelatase | VWA domain-containing protein	NA	610	-1	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Delftia
DACI_RS29045	cobaltochelatase subunit CobN	NA	1273	NA	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Delftia
DACI_RS09960	aerobic cobaltochelatase subunit CobS	NA	325	NA	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Delftia
DACI_RS09965	cobaltochelatase	NA	563	NA	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Delftia
MVOL_RS03410	magnesium chelatase	NA	356	NA	Methanococcus voltae A3	Archaea	Euryarchaeota	Methanococcus
MVOL_RS03410_fs_MVOL_RS03405	magnesium chelatase | VWA domain-containing protein	NA	708	-1	Methanococcus voltae A3	Archaea	Euryarchaeota	Methanococcus
MVOL_RS03365	hypothetical protein	NA	1344	NA	Methanococcus voltae A3	Archaea	Euryarchaeota	Methanococcus
PA2942	magnesium chelatase	NA	338	NA	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Pseudomonas
PA2942_fs_PA2941	magnesium chelatase | hypothetical protein	NA	560	-1	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Pseudomonas
PA2944	cobaltochelatase subunit CobN	cobN	1248	NA	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Pseudomonas
PA1923	cobaltochelatase subunit CobN	NA	1281	NA	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Pseudomonas
VNG_RS06090	VWA domain-containing protein	NA	690	NA	Halobacterium salinarum NRC-1	Archaea	Euryarchaeota	Halobacterium
VNG_RS06095	cobaltochelatase subunit CobN	NA	1299	NA	Halobacterium salinarum NRC-1	Archaea	Euryarchaeota	Halobacterium
MA_RS04565	VWA domain-containing protein	NA	704	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS04540	cobaltochelatase subunit CobN	NA	1302	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS04595	cobaltochelatase subunit CobN	NA	1300	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
