id	name	descr	gene	fs_len	child_fs_len	org_name	kingdom	phylum	genus
40489	DEFCA_RS0107745	magnesium chelatase	NA	NA	-1	Deferrisoma camini S3R1	Bacteria	Proteobacteria	Deferrisoma
45831	JCM12178_RS10460	magnesium chelatase	NA	NA	NA	Desulfovibrio brasiliensis JCM 12178	Bacteria	Proteobacteria	Desulfovibrio
57182	CHB73_RS08015	magnesium chelatase ATPase subunit I	NA	NA	NA	Desulfovibrio mexicanus	Bacteria	Proteobacteria	Desulfovibrio
41479	T370_RS0104335	magnesium chelatase	NA	NA	NA	Bilophila wadsworthia ATCC 49260	Bacteria	Proteobacteria	Bilophila
47282	AXF13_RS15295	magnesium chelatase ATPase subunit I	NA	NA	NA	Desulfovibrio fairfieldensis	Bacteria	Proteobacteria	Desulfovibrio
47283	AXF13_RS07895	magnesium chelatase ATPase subunit I	NA	NA	NA	Desulfovibrio fairfieldensis	Bacteria	Proteobacteria	Desulfovibrio
34948	PHAMO_RS11460	magnesium chelatase	NA	NA	NA	Phaeospirillum molischianum DSM 120	Bacteria	Proteobacteria	Phaeospirillum
45142	AAU61_RS17100	magnesium chelatase	NA	NA	NA	Desulfocarbo indianensis	Bacteria	Proteobacteria	Desulfocarbo
43978	X474_RS18345	magnesium chelatase	NA	NA	NA	Dethiosulfatarculus sandiegensis	Bacteria	Proteobacteria	Dethiosulfatarculus
32069	DEBA_RS12580	magnesium chelatase	NA	NA	NA	Desulfarculus baarsii DSM 2075	Bacteria	Proteobacteria	Desulfarculus
34659	DESTI_RS23935	magnesium chelatase	NA	NA	NA	Desulfomonile tiedjei DSM 6799	Bacteria	Proteobacteria	Desulfomonile
55325	BM091_RS03515	magnesium chelatase ATPase subunit I	NA	NA	NA	Thermodesulforhabdus norvegica	Bacteria	Proteobacteria	Thermodesulforhabdus
39499	G491_RS0123315	magnesium chelatase	NA	NA	NA	Desulfatibacillum aliphaticivorans DSM 15576	Bacteria	Proteobacteria	Desulfatibacillum
30470	PPRO_RS06225	magnesium chelatase	NA	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
39558	G493_RS0111585	magnesium chelatase	NA	NA	NA	Desulfobulbus japonicus DSM 18378	Bacteria	Proteobacteria	Desulfobulbus
32853	DESPR_RS15590	magnesium chelatase	NA	NA	NA	Desulfobulbus propionicus DSM 2032	Bacteria	Proteobacteria	Desulfobulbus
41019	Q362_RS0105490	magnesium chelatase	NA	NA	NA	Desulfobulbus elongatus DSM 2908	Bacteria	Proteobacteria	Desulfobulbus
35217	TOL2_RS22280	magnesium chelatase	NA	NA	NA	Desulfobacula toluolica Tol2	Bacteria	Proteobacteria	Desulfobacula
56805	B9A32_RS01445	magnesium chelatase ATPase subunit I	NA	NA	NA	Desulfobacterium vacuolatum DSM 3385	Bacteria	Proteobacteria	Desulfobacterium
32997	DESAC_RS12465	magnesium chelatase	NA	NA	NA	Desulfobacca acetoxidans DSM 11109	Bacteria	Proteobacteria	Desulfobacca
56804	B9A32_RS14585	magnesium chelatase ATPase subunit I	NA	NA	NA	Desulfobacterium vacuolatum DSM 3385	Bacteria	Proteobacteria	Desulfobacterium
43979	X474_RS22455	magnesium chelatase	NA	NA	NA	Dethiosulfatarculus sandiegensis	Bacteria	Proteobacteria	Dethiosulfatarculus
32070	DEBA_RS06980	magnesium chelatase	NA	NA	NA	Desulfarculus baarsii DSM 2075	Bacteria	Proteobacteria	Desulfarculus
45143	AAU61_RS14525	magnesium chelatase	NA	NA	NA	Desulfocarbo indianensis	Bacteria	Proteobacteria	Desulfocarbo
30417	SFUM_RS02560	magnesium chelatase	NA	NA	NA	Syntrophobacter fumaroxidans MPOB	Bacteria	Proteobacteria	Syntrophobacter
34658	DESTI_RS27090	magnesium chelatase	NA	NA	NA	Desulfomonile tiedjei DSM 6799	Bacteria	Proteobacteria	Desulfomonile
30469	PPRO_RS10335	magnesium chelatase	NA	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
40131	SYNAR_RS0116590	magnesium chelatase	NA	NA	NA	Syntrophorhabdus aromaticivorans UI	Bacteria	Proteobacteria	Syntrophorhabdus
43837	GSUB_RS07835	magnesium chelatase	NA	NA	-1	Geoalkalibacter subterraneus	Bacteria	Proteobacteria	Geoalkalibacter
43753	GFER_RS08620	hypothetical protein	NA	NA	-1	Geoalkalibacter ferrihydriticus DSM 17813	Bacteria	Proteobacteria	Geoalkalibacter
55907	BUC26_RS03160	hypothetical protein	NA	NA	-1	Desulfofustis glycolicus DSM 9705	Bacteria	Proteobacteria	Desulfofustis
38699	F608_RS32460	hypothetical protein	NA	NA	-1	Desulfospira joergensenii DSM 10085	Bacteria	Proteobacteria	Desulfospira
56069	BUB13_RS10160	hypothetical protein	NA	NA	-1	Malonomonas rubra DSM 5091	Bacteria	Proteobacteria	Malonomonas
54626	BQ4888_RS13830	magnesium chelatase ATPase subunit I	NA	NA	-1	Desulfuromonas acetexigens	Bacteria	Proteobacteria	Desulfuromonas
32990	DESAC_RS14805	magnesium chelatase	NA	NA	-1	Desulfobacca acetoxidans DSM 11109	Bacteria	Proteobacteria	Desulfobacca
34071	PSF113_RS39020	DUF815 domain-containing protein	NA	NA	NA	Pseudomonas fluorescens F113	Bacteria	Proteobacteria	Pseudomonas
37959	F566_RS0124750	MoxR family ATPase	NA	NA	NA	Hahella ganghwensis DSM 17046	Bacteria	Proteobacteria	Hahella
45586	WG78_RS01815	AAA family ATPase	NA	NA	NA	Amantichitinum ursilacus	Bacteria	Proteobacteria	Amantichitinum
32702	MMEL_RS0105545	MoxR family ATPase	NA	NA	NA	Citromicrobium bathyomarinum JL354	Bacteria	Proteobacteria	Citromicrobium
49294	BJG93_RS05500	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Paraburkholderia sprentiae WSM5005	Bacteria	Proteobacteria	Paraburkholderia
41287	Q331_RS0115780	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Afifella pfennigii DSM 17143	Bacteria	Proteobacteria	Afifella
40059	V510_RS0113785	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Rhodopseudomonas palustris JSC-3b	Bacteria	Proteobacteria	Rhodopseudomonas
36377	THIMO_RS00800	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Thioflavicoccus mobilis 8321	Bacteria	Proteobacteria	Thioflavicoccus
33624	THIMADRAFT_RS00400	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Thiocapsa marina 5811	Bacteria	Proteobacteria	Thiocapsa
38103	A39O_RS0125380	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Lamprocystis purpurea DSM 4197	Bacteria	Proteobacteria	Lamprocystis
33660	MARPU_RS13335	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Marichromatium purpuratum 984	Bacteria	Proteobacteria	Marichromatium
33823	THISIDRAFT_RS07940	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Thiorhodospira sibirica ATCC 700588	Bacteria	Proteobacteria	Thiorhodospira
38104	A39O_RS0103825	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Lamprocystis purpurea DSM 4197	Bacteria	Proteobacteria	Lamprocystis
33857	THIVI_RS20475	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Thiocystis violascens DSM 198	Bacteria	Proteobacteria	Thiocystis
50396	RF819_RS19690	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Rhodoferax fermentans	Bacteria	Proteobacteria	Rhodoferax
50136	RA876_RS14660	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Rhodoferax antarcticus	Bacteria	Proteobacteria	Rhodoferax
41258	Q390_RS0101880	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Simplicispira psychrophila DSM 11588	Bacteria	Proteobacteria	Simplicispira
34875	RGE_RS03525	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Rubrivivax gelatinosus IL144	Bacteria	Proteobacteria	Rubrivivax
50861	PNI01S_RS24580	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Pseudomonas nitroreducens NBRC 12694	Bacteria	Proteobacteria	Pseudomonas
43557	AW38_RS08405	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Pseudomonas putida	Bacteria	Proteobacteria	Pseudomonas
40980	Q352_RS0118360	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Microvirgula aerodenitrificans DSM 15089	Bacteria	Proteobacteria	Microvirgula
56936	B9N72_RS11380	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Pseudogulbenkiania subflava DSM 22618	Bacteria	Proteobacteria	Pseudogulbenkiania
46758	AWT75_RS20170	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Aquitalea pelogenes	Bacteria	Proteobacteria	Aquitalea
37511	S58_RS28260	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Bradyrhizobium oligotrophicum S58	Bacteria	Proteobacteria	Bradyrhizobium
52957	BLQ71_RS08150	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Mameliella alba	Bacteria	Proteobacteria	Mameliella
43967	jaqu_RS12500	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Jannaschia aquimarina	Bacteria	Proteobacteria	Jannaschia
55559	BM171_RS16600	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Roseivivax halotolerans	Bacteria	Proteobacteria	Roseivivax
49032	AWJ14_RS17700	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Hoeflea olei	Bacteria	Proteobacteria	Hoeflea
30306	RD1_RS07205	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Roseobacter denitrificans OCh 114	Bacteria	Proteobacteria	Roseobacter
32338	RLO149_RS15300	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Roseobacter litoralis Och 149	Bacteria	Proteobacteria	Roseobacter
56533	BW949_RS15395	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Rhodobacter vinaykumarii	Bacteria	Proteobacteria	Rhodobacter
51469	A4W93_RS02355	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Rhizobacter gummiphilus	Bacteria	Proteobacteria	Rhizobacter
46062	APZ15_RS18100	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Burkholderia cepacia ATCC 25416	Bacteria	Proteobacteria	Burkholderia
37804	A3Q7_RS0115415	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Methyloversatilis thermotolerans	Bacteria	Proteobacteria	Methyloversatilis
40567	METFAM1_RS0112955	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Methyloversatilis discipulorum	Bacteria	Proteobacteria	Methyloversatilis
33412	METUNV1_RS16790	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Methyloversatilis universalis FAM5	Bacteria	Proteobacteria	Methyloversatilis
38727	F608_RS0123195	CbbQ/NirQ/NorQ/GpvN family protein	NA	NA	NA	Desulfospira joergensenii DSM 10085	Bacteria	Proteobacteria	Desulfospira
44606	WM40_RS10405	ATPase AAA	NA	NA	NA	Robbsia andropogonis	Bacteria	Proteobacteria	Robbsia
30232	BXE_RS30545	ATPase AAA	NA	NA	NA	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
55023	BM166_RS14255	AAA family ATPase	NA	NA	NA	Paraburkholderia megapolitana	Bacteria	Proteobacteria	Paraburkholderia
46056	APZ15_RS35280	ATPase AAA	NA	NA	NA	Burkholderia cepacia ATCC 25416	Bacteria	Proteobacteria	Burkholderia
44244	BM43_RS16470	ATPase AAA	NA	NA	NA	Burkholderia gladioli	Bacteria	Proteobacteria	Burkholderia
